loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
48.0,3.0,1.0,3.0,157.0,927.38,0.08,13.09,70.84,12140.27,0.31,674.46,34,1,9,0,16.0,44.0,85.0,72.0,5.0,1
14.0,2.0,1.0,2.0,31.0,129.27,0.19,5.2,24.86,672.19,0.04,37.34,8,1,3,0,8.0,10.0,18.0,13.0,3.0,1
32.0,6.0,4.0,4.0,116.0,595.0,0.06,16.67,35.7,9916.61,0.2,550.92,26,0,4,0,14.0,21.0,66.0,50.0,11.0,1
11.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,6,0,4.0,4.0,5.0,4.0,1.0,1
20.0,3.0,1.0,1.0,31.0,118.03,0.11,9.0,13.11,1062.25,0.04,59.01,13,4,0,0,9.0,5.0,21.0,10.0,5.0,1
39.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
63.0,21.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,41.0,1
78.0,6.0,1.0,5.0,192.0,1072.31,0.04,28.21,38.01,30254.54,0.36,1680.81,45,6,19,6,20.0,28.0,113.0,79.0,11.0,1
209.0,26.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,47.0,1
6.0,2.0,1.0,1.0,21.0,82.04,0.17,6.0,13.67,492.27,0.03,27.35,4,0,0,0,10.0,5.0,15.0,6.0,3.0,1
44.0,13.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,1
24.0,3.0,1.0,1.0,52.0,224.74,0.06,16.71,13.45,3756.37,0.07,208.69,18,0,4,0,13.0,7.0,34.0,18.0,5.0,1
23.0,2.0,1.0,2.0,51.0,233.83,0.17,6.0,38.97,1403.0,0.08,77.94,19,0,2,0,9.0,15.0,31.0,20.0,3.0,1
69.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,1
148.0,19.0,10.0,11.0,516.0,3223.93,0.03,34.67,93.0,111762.93,1.07,6209.05,118,7,16,1,19.0,57.0,308.0,208.0,37.0,1
83.0,20.0,15.0,7.0,226.0,1300.6,0.03,33.19,39.19,43166.62,0.43,2398.15,62,7,12,0,25.0,29.0,149.0,77.0,39.0,1
53.0,4.0,1.0,4.0,106.0,539.27,0.07,14.86,36.3,8012.03,0.18,445.11,36,7,8,0,13.0,21.0,58.0,48.0,7.0,1
97.0,15.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,1
25.0,2.0,1.0,2.0,71.0,355.0,0.15,6.46,54.98,2292.07,0.12,127.34,20,3,0,0,9.0,23.0,38.0,33.0,3.0,1
466.0,110.0,95.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,219.0,1
110.0,27.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,53.0,1
113.0,19.0,18.0,11.0,491.0,3179.59,0.02,45.4,70.04,144343.07,1.06,8019.06,92,9,12,0,26.0,63.0,271.0,220.0,37.0,1
119.0,9.0,7.0,7.0,300.0,1862.84,0.04,24.96,74.63,46500.6,0.62,2583.37,79,21,15,2,21.0,53.0,174.0,126.0,17.0,1
15.0,3.0,1.0,2.0,47.0,215.49,0.11,9.0,23.94,1939.44,0.07,107.75,10,0,2,1,12.0,12.0,29.0,18.0,5.0,1
44.0,10.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,1
124.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,109.0,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4,0,2,0,5.0,6.0,8.0,7.0,1.0,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4,0,2,0,5.0,6.0,8.0,7.0,1.0,1
162.0,27.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,53.0,1
113.0,27.0,20.0,16.0,445.0,2829.11,0.02,41.45,68.26,117259.19,0.94,6514.4,97,0,9,5,25.0,57.0,256.0,189.0,53.0,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4,0,2,0,5.0,6.0,8.0,7.0,1.0,1
8.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,4,0,2,0,5.0,5.0,8.0,6.0,1.0,1
9.0,2.0,1.0,1.0,17.0,62.91,0.24,4.08,15.41,256.87,0.02,14.27,6,0,1,0,7.0,6.0,10.0,7.0,3.0,1
179.0,36.0,27.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,71.0,1
171.0,16.0,1.0,16.0,644.0,4230.99,0.03,34.25,123.53,144911.31,1.41,8050.63,115,8,24,22,19.0,76.0,370.0,274.0,31.0,1
77.0,15.0,11.0,15.0,273.0,1656.04,0.06,18.04,91.8,29873.71,0.55,1659.65,62,4,9,0,16.0,51.0,158.0,115.0,29.0,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4,0,2,0,5.0,6.0,8.0,7.0,1.0,1
12.0,4.0,1.0,1.0,40.0,183.4,0.13,8.0,22.92,1467.19,0.06,81.51,8,0,2,0,12.0,12.0,24.0,16.0,7.0,1
42.0,9.0,1.0,4.0,135.0,708.47,0.07,14.88,47.63,10538.49,0.24,585.47,28,6,6,0,17.0,30.0,116.0,74.0,27.0,1
14.0,1.0,1.0,1.0,79.0,346.99,0.22,4.59,75.63,1592.09,0.12,88.45,12,0,0,0,4.0,17.0,40.0,39.0,1.0,1
19.0,5.0,1.0,1.0,62.0,267.96,0.05,21.0,12.76,5627.15,0.09,312.62,15,0,2,0,12.0,8.0,34.0,28.0,9.0,1
88.0,8.0,1.0,7.0,250.0,1372.96,0.03,33.25,41.29,45651.03,0.46,2536.17,52,19,12,3,21.0,24.0,174.0,76.0,15.0,1
13.0,2.0,1.0,2.0,50.0,235.02,0.24,4.24,55.47,995.75,0.08,55.32,10,0,1,0,7.0,19.0,27.0,23.0,3.0,1
46.0,4.0,1.0,4.0,80.0,396.34,0.08,11.92,33.26,4723.0,0.13,262.39,28,1,14,0,13.0,18.0,47.0,33.0,7.0,1
129.0,30.0,18.0,25.0,402.0,2583.36,0.02,46.42,55.65,119927.45,0.86,6662.64,111,1,14,1,34.0,52.0,260.0,142.0,58.0,1
20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
22.0,1.0,1.0,1.0,107.0,508.77,0.08,12.06,42.19,6135.2,0.17,340.84,16,0,4,0,10.0,17.0,66.0,41.0,1.0,1
32.0,2.0,1.0,2.0,157.0,851.92,0.08,12.2,69.81,10396.13,0.28,577.56,23,3,4,0,11.0,32.0,86.0,71.0,3.0,1
13.0,1.0,1.0,1.0,45.0,171.33,0.07,14.4,11.9,2467.17,0.06,137.06,9,0,2,0,9.0,5.0,29.0,16.0,1.0,1
12.0,3.0,1.0,2.0,22.0,88.0,0.12,8.33,10.56,733.33,0.03,40.74,9,0,1,0,10.0,6.0,12.0,10.0,5.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.32,3.12,11.16,108.97,0.01,6.05,3,0,1,0,5.0,4.0,6.0,5.0,1.0,1
17.0,3.0,1.0,1.0,28.0,109.39,0.13,7.43,14.73,812.63,0.04,45.15,13,1,1,0,8.0,7.0,15.0,13.0,5.0,1
5.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,3,0,0,0,7.0,5.0,9.0,6.0,1.0,1
227.0,55.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,109.0,1
68.0,5.0,1.0,4.0,309.0,1725.75,0.03,32.04,53.85,55302.55,0.58,3072.36,53,1,8,0,15.0,32.0,167.0,140.0,9.0,1
37.0,4.0,1.0,4.0,73.0,371.38,0.1,10.15,36.59,3769.56,0.12,209.42,23,6,6,0,14.0,20.0,44.0,29.0,7.0,1
106.0,12.0,5.0,9.0,288.0,1759.26,0.03,34.94,50.35,61473.97,0.59,3415.22,76,17,10,1,25.0,44.0,165.0,123.0,22.0,1
18.0,1.0,1.0,1.0,18.0,72.0,0.3,3.3,21.82,237.6,0.02,13.2,14,0,2,0,6.0,10.0,7.0,11.0,1.0,1
100.0,11.0,1.0,7.0,277.0,1636.21,0.04,28.25,57.92,46222.9,0.55,2567.94,64,17,17,0,20.0,40.0,164.0,113.0,21.0,1
99.0,14.0,5.0,11.0,277.0,1802.66,0.04,26.16,68.92,47150.8,0.6,2619.49,85,4,10,0,27.0,64.0,153.0,124.0,24.0,1
53.0,6.0,1.0,3.0,176.0,942.93,0.03,30.23,31.19,28502.18,0.31,1583.45,37,2,10,2,19.0,22.0,106.0,70.0,11.0,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2,0,0,0,4.0,4.0,6.0,4.0,1.0,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2,0,0,0,4.0,4.0,6.0,4.0,1.0,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2,0,0,0,4.0,4.0,6.0,4.0,1.0,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2,0,0,0,4.0,4.0,6.0,4.0,1.0,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2,0,0,0,4.0,4.0,6.0,4.0,1.0,1
50.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,1
14.0,3.0,1.0,1.0,21.0,82.04,0.13,8.0,10.26,656.36,0.03,36.46,7,2,3,0,10.0,5.0,13.0,8.0,5.0,1
11.0,2.0,1.0,1.0,30.0,120.0,0.11,9.17,13.09,1100.0,0.04,61.11,8,0,1,0,10.0,6.0,19.0,11.0,3.0,1
174.0,15.0,11.0,7.0,448.0,3020.18,0.04,24.66,122.46,74486.0,1.01,4138.1,107,28,37,0,21.0,86.0,246.0,202.0,29.0,1
33.0,4.0,1.0,3.0,98.0,485.51,0.09,10.71,45.31,5201.91,0.16,288.99,29,0,2,0,10.0,21.0,53.0,45.0,7.0,1
4.0,1.0,1.0,1.0,8.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2,0,0,0,5.0,3.0,5.0,3.0,1.0,1
13.0,2.0,1.0,2.0,59.0,236.0,0.13,7.8,30.26,1840.8,0.08,102.27,9,0,2,0,6.0,10.0,33.0,26.0,3.0,1
135.0,11.0,1.0,9.0,352.0,2317.91,0.05,18.58,124.77,43059.58,0.77,2392.2,92,14,24,3,18.0,78.0,191.0,161.0,21.0,1
49.0,6.0,3.0,5.0,137.0,760.98,0.04,23.76,32.03,18080.85,0.25,1004.49,38,0,9,0,22.0,25.0,83.0,54.0,11.0,1
45.0,6.0,1.0,3.0,226.0,1268.92,0.04,27.36,46.38,34716.98,0.42,1928.72,40,1,2,0,17.0,32.0,123.0,103.0,11.0,1
65.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,1
40.0,5.0,3.0,5.0,131.0,723.59,0.04,23.38,30.96,16913.84,0.24,939.66,32,0,5,0,22.0,24.0,80.0,51.0,9.0,1
59.0,7.0,5.0,7.0,195.0,1089.07,0.05,20.64,52.77,22476.1,0.36,1248.67,34,13,8,2,19.0,29.0,132.0,63.0,13.0,1
31.0,4.0,3.0,4.0,107.0,576.98,0.05,20.5,28.15,11828.05,0.19,657.11,23,0,6,0,21.0,21.0,66.0,41.0,7.0,1
45.0,9.0,9.0,5.0,195.0,1094.87,0.03,28.97,37.8,31713.43,0.36,1761.86,36,4,5,0,20.0,29.0,111.0,84.0,17.0,1
31.0,6.0,1.0,3.0,69.0,338.58,0.07,14.86,22.79,5030.26,0.11,279.46,21,3,5,0,16.0,14.0,43.0,26.0,11.0,1
28.0,2.0,1.0,2.0,75.0,339.27,0.07,15.27,22.21,5181.53,0.11,287.86,17,8,1,0,12.0,11.0,47.0,28.0,3.0,1
49.0,3.0,1.0,3.0,121.0,639.53,0.05,20.86,30.65,13343.0,0.21,741.28,33,2,4,8,17.0,22.0,67.0,54.0,5.0,1
30.0,5.0,3.0,4.0,100.0,545.94,0.05,21.0,26.0,11464.81,0.18,636.93,21,1,5,1,22.0,22.0,58.0,42.0,9.0,1
146.0,15.0,9.0,9.0,423.0,2658.73,0.02,43.15,61.62,114716.17,0.89,6373.12,93,23,13,12,27.0,51.0,260.0,163.0,29.0,1
127.0,16.0,10.0,9.0,462.0,3042.25,0.02,42.0,72.43,127774.61,1.01,7098.59,105,3,11,8,28.0,68.0,258.0,204.0,31.0,1
85.0,18.0,11.0,1.0,350.0,2083.96,0.02,43.89,47.48,91475.26,0.69,5081.96,68,3,11,0,24.0,38.0,211.0,139.0,35.0,1
28.0,5.0,3.0,4.0,98.0,528.45,0.05,20.0,26.42,10568.94,0.18,587.16,21,0,5,0,21.0,21.0,58.0,40.0,9.0,1
21.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,1
127.0,23.0,21.0,8.0,323.0,2081.07,0.03,36.58,56.89,76123.38,0.69,4229.08,88,31,8,0,30.0,57.0,184.0,139.0,45.0,1
45.0,12.0,1.0,6.0,160.0,813.99,0.04,28.44,28.62,23153.61,0.27,1286.31,34,1,8,0,16.0,18.0,96.0,64.0,23.0,1
31.0,3.0,1.0,2.0,87.0,438.86,0.09,10.86,40.42,4764.79,0.15,264.71,24,0,5,0,12.0,21.0,49.0,38.0,5.0,1
11.0,3.0,1.0,2.0,39.0,165.67,0.09,11.69,14.17,1936.26,0.06,107.57,9,0,0,0,11.0,8.0,22.0,17.0,5.0,1
28.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,1
61.0,8.0,1.0,3.0,99.0,465.34,0.04,24.55,18.96,11422.07,0.16,634.56,27,24,8,0,15.0,11.0,63.0,36.0,15.0,1
12.0,2.0,1.0,1.0,16.0,59.21,0.24,4.08,14.5,241.76,0.02,13.43,7,0,3,0,7.0,6.0,9.0,7.0,3.0,1
20.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,1
28.0,3.0,1.0,2.0,95.0,502.11,0.08,12.32,40.76,6186.03,0.17,343.67,20,0,6,0,14.0,25.0,51.0,44.0,5.0,1
55.0,4.0,1.0,4.0,73.0,330.22,0.03,32.0,10.32,10567.04,0.11,587.06,19,3,31,0,16.0,7.0,45.0,28.0,7.0,1
38.0,6.0,1.0,3.0,75.0,339.27,0.04,23.33,14.54,7916.23,0.11,439.79,12,2,19,3,14.0,9.0,45.0,30.0,11.0,1
14.0,10.0,7.0,6.0,97.0,396.48,0.02,43.2,9.18,17128.1,0.13,951.56,12,0,0,0,12.0,5.0,61.0,36.0,19.0,1
142.0,11.0,1.0,3.0,128.0,651.2,0.03,37.14,17.53,24187.25,0.22,1343.74,38,72,26,4,20.0,14.0,76.0,52.0,21.0,1
29.0,3.0,1.0,2.0,95.0,502.11,0.08,12.32,40.76,6186.03,0.17,343.67,21,0,6,0,14.0,25.0,51.0,44.0,5.0,1
15.0,2.0,1.0,2.0,19.0,70.31,0.19,5.25,13.39,369.12,0.02,20.51,7,4,2,0,7.0,6.0,10.0,9.0,3.0,1
54.0,5.0,1.0,4.0,116.0,574.69,0.03,33.23,17.29,19097.28,0.19,1060.96,33,5,14,0,18.0,13.0,68.0,48.0,9.0,1
105.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,1
29.0,3.0,3.0,2.0,52.0,238.42,0.14,6.9,34.55,1645.08,0.08,91.39,13,9,5,0,9.0,15.0,29.0,23.0,5.0,1
15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,1
24.0,4.0,4.0,2.0,48.0,222.91,0.18,5.63,39.63,1253.84,0.07,69.66,14,5,2,0,9.0,16.0,28.0,20.0,7.0,1
25.0,4.0,4.0,2.0,50.0,235.02,0.18,5.56,42.28,1306.45,0.08,72.58,15,5,2,0,9.0,17.0,29.0,21.0,7.0,1
88.0,14.0,1.0,14.0,364.0,2215.84,0.02,50.45,43.92,111794.23,0.74,6210.79,79,0,2,0,26.0,42.0,201.0,163.0,15.0,1
116.0,13.0,7.0,12.0,292.0,1909.43,0.04,22.9,83.4,43717.5,0.64,2428.75,100,5,11,0,26.0,67.0,174.0,118.0,23.0,1
71.0,5.0,1.0,4.0,223.0,1338.0,0.06,16.07,83.25,21503.57,0.45,1194.64,57,1,11,0,15.0,49.0,118.0,105.0,9.0,1
49.0,4.0,3.0,3.0,185.0,1097.19,0.05,18.84,58.25,20667.93,0.37,1148.22,38,0,9,0,11.0,11.0,29.0,19.0,5.0,1
87.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,18.0,1
19.0,2.0,1.0,2.0,43.0,188.87,0.12,8.64,21.87,1631.15,0.06,90.62,9,1,4,0,10.0,11.0,24.0,19.0,3.0,1
99.0,9.0,1.0,7.0,260.0,1577.18,0.03,29.02,54.34,45774.99,0.53,2543.06,67,14,12,2,24.0,43.0,156.0,104.0,15.0,1
84.0,8.0,5.0,5.0,205.0,1195.74,0.04,27.06,44.19,32355.38,0.4,1797.52,54,14,11,2,23.0,34.0,125.0,80.0,14.0,1
77.0,10.0,1.0,10.0,269.0,1459.67,0.03,30.81,47.37,44979.31,0.49,2498.85,48,19,8,0,16.0,27.0,165.0,104.0,19.0,1
139.0,20.0,8.0,3.0,349.0,2061.5,0.02,64.31,32.04,132580.53,0.69,7365.58,68,35,26,6,28.0,32.0,202.0,147.0,39.0,1
37.0,5.0,1.0,1.0,143.0,721.35,0.05,18.57,38.84,13396.47,0.24,744.25,26,2,6,1,12.0,21.0,78.0,65.0,9.0,1
29.0,3.0,1.0,3.0,97.0,485.0,0.09,11.63,41.7,5641.32,0.16,313.41,16,4,6,1,13.0,19.0,63.0,34.0,5.0,1
20.0,3.0,1.0,3.0,41.0,180.09,0.11,9.33,19.29,1680.79,0.06,93.38,14,0,4,0,12.0,9.0,27.0,14.0,5.0,1
31.0,3.0,1.0,3.0,105.0,534.18,0.09,11.76,45.42,6283.02,0.18,349.06,18,4,6,1,13.0,21.0,67.0,38.0,5.0,1
34.0,5.0,1.0,1.0,91.0,427.74,0.05,22.0,19.44,9410.28,0.14,522.78,14,3,13,2,13.0,13.0,47.0,44.0,9.0,1
62.0,6.0,4.0,5.0,169.0,953.81,0.05,18.29,52.16,17443.19,0.32,969.07,47,4,9,0,17.0,33.0,98.0,71.0,11.0,1
132.0,31.0,23.0,12.0,1229.0,7582.84,0.01,91.2,83.15,691554.81,2.53,38419.71,79,43,8,0,27.0,45.0,925.0,304.0,61.0,1
18.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,1
68.0,4.0,3.0,4.0,137.0,792.05,0.1,9.9,79.97,7845.03,0.26,435.83,38,15,13,0,13.0,42.0,73.0,64.0,7.0,1
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,1
22.0,1.0,1.0,1.0,27.0,110.36,0.24,4.2,26.28,463.52,0.04,25.75,3,5,6,4,7.0,10.0,15.0,12.0,1.0,1
10.0,2.0,1.0,1.0,20.0,78.14,0.22,4.5,17.36,351.62,0.03,19.53,7,0,1,0,9.0,6.0,14.0,6.0,3.0,1
76.0,8.0,6.0,7.0,149.0,787.52,0.05,20.0,39.38,15750.5,0.26,875.03,55,7,8,4,15.0,24.0,85.0,64.0,14.0,1
20.0,2.0,1.0,2.0,84.0,434.27,0.11,9.25,46.95,4017.03,0.14,223.17,14,0,4,0,12.0,24.0,47.0,37.0,3.0,1
20.0,2.0,1.0,2.0,84.0,430.86,0.1,9.65,44.64,4158.72,0.14,231.04,14,0,4,0,12.0,23.0,47.0,37.0,3.0,1
31.0,6.0,1.0,2.0,76.0,357.23,0.05,20.45,17.46,7307.05,0.12,405.95,13,4,7,5,15.0,11.0,46.0,30.0,11.0,1
89.0,21.0,4.0,5.0,179.0,965.22,0.03,34.5,27.98,33300.26,0.32,1850.01,68,0,19,0,23.0,19.0,122.0,57.0,34.0,1
81.0,9.0,5.0,4.0,198.0,1154.91,0.03,30.86,37.43,35639.87,0.38,1979.99,48,14,16,1,25.0,32.0,119.0,79.0,17.0,1
30.0,2.0,1.0,2.0,86.0,433.82,0.08,13.33,32.54,5784.24,0.14,321.35,24,1,2,1,15.0,18.0,54.0,32.0,3.0,1
47.0,11.0,4.0,6.0,143.0,775.96,0.03,31.05,24.99,24093.43,0.26,1338.52,37,0,8,0,23.0,20.0,89.0,54.0,20.0,1
191.0,27.0,18.0,23.0,581.0,3549.05,0.02,60.15,59.0,213471.74,1.18,11859.54,148,32,8,0,22.0,47.0,324.0,257.0,53.0,1
36.0,7.0,1.0,4.0,72.0,363.2,0.06,15.6,23.28,5665.86,0.12,314.77,20,6,6,0,18.0,15.0,46.0,26.0,13.0,1
43.0,12.0,6.0,5.0,70.0,346.79,0.07,14.57,23.8,5053.28,0.12,280.74,33,0,8,0,17.0,14.0,46.0,24.0,20.0,1
219.0,31.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,61.0,1
